 Year       Month  Enso3,4       solar          QBO1          QBO2            EHF_NH          EHF_SH         AO         AAO
 1996.7083  9     -0.4500000      0.1516760       1.475780       2.342020       4.246400      -59.04950      -1.140000      -1.405700
 1996.7917 10     -0.4400000      0.1512900       2.045490       1.941080       13.02190      -71.08550     -0.9575000     -0.4400000
 1996.8750 11     -0.4100000      0.1518440       2.411640       1.261490       29.41190      -71.08550     -0.8211000     -0.4400000
 1996.9583 12     -0.6400000      0.1523570       2.342310      0.5149870       47.97990      -71.08550      -2.541900     -0.4400000
 1997.0417  1     -0.5300000      0.1518060       2.556020     0.02043440       63.60490      -71.08550      -2.998700     -0.4400000
 1997.1250  2     -0.3700000      0.1517590       2.511240     -0.4022860       71.80210      -71.08550      -1.110000     -0.4400000
 1997.2083  3     -0.2500000      0.1519430       2.664040     -0.6764240       78.30750      -6.098800    -0.01920000      0.7010000
 1997.2917  4      0.1600000      0.1520180       2.145760      -1.372150       90.38150      -12.17760      0.3044000      0.2434000
 1997.3750  5      0.6400000      0.1524540       1.482320      -1.761230       90.38150      -18.70800      0.3044000       1.271500
 1997.4583  6       1.090000      0.1521530      0.6724780      -2.069540       90.38150      -25.17610      0.3044000      0.8139000
 1997.5417  7       1.560000      0.1521700     -0.4114940      -1.998120       90.38150      -32.52530      0.3044000       1.593600
 1997.6250  8       1.890000      0.1530720     -0.6070970      -1.817630       90.38150      -46.50030      0.3044000       2.362000
 1997.7083  9       2.130000      0.1543930     -0.9296440      -1.690440       5.139700      -60.22530      0.1945000       2.484200
 1997.7917 10       2.360000      0.1541080      -1.352880      -1.311020       12.15540      -71.10530     -0.5052000       1.889500
 1997.8750 11       2.410000      0.1549240      -1.540530     -0.7555900       27.66740      -71.10530      -1.166300       1.889500
 1997.9583 12       2.290000      0.1550950      -1.504240     -0.2289970       52.16140      -71.10530      -1.237400       1.889500
 1998.0417  1       2.380000      0.1550560      -1.434420     0.02943730       69.77440      -71.10530      -3.318000       1.889500
 1998.1250  2       2.030000      0.1545150      -1.432990      0.1114440       84.50040      -71.10530      -3.501200       1.889500
 1998.2083  3       1.340000      0.1556520      -1.843360      0.2687080       99.90940      -4.871000      -3.755600      0.7359000
 1998.2917  4      0.7800000      0.1568610      -2.016610      0.8047720       107.0220      -11.71930      -3.793500       2.663200
 1998.3750  5      0.5700000      0.1565490      -1.142280       1.513950       107.0220      -18.68240      -3.793500       2.625100
 1998.4583  6     -0.3900000      0.1570590      0.3212730       2.098220       107.0220      -28.28640      -3.793500       3.656100
 1998.5417  7     -0.9900000      0.1588910      0.9353090       2.323290       107.0220      -34.18790      -3.793500       5.106100
 1998.6250  8      -1.280000      0.1600040       1.574790       2.162240       107.0220      -39.69640      -3.793500       6.010200
 1998.7083  9      -1.260000      0.1600110       1.987410       1.780710       4.359800      -53.93140      -1.049900       5.887800
 1998.7917 10      -1.460000      0.1589020       2.627690       1.339560       12.88650      -65.02940     -0.7556000       6.287300
 1998.8750 11      -1.460000      0.1598850       3.006980      0.6232310       24.42050      -65.02940      -2.205000       6.287300
 1998.9583 12      -1.690000      0.1614760       3.126730    0.009675320       48.00450      -65.02940     -0.8516000       6.287300
 1999.0417  1      -1.690000      0.1608300       2.868850     -0.3778230       59.66650      -65.02940     -0.7413000       6.287300
 1999.1250  2      -1.320000      0.1604520       2.653520     -0.7446050       86.08550      -65.02940     -0.2592000       6.287300
 1999.2083  3     -0.9500000      0.1592910       1.799230      -1.183480       97.79350      -6.062100      -1.750800      0.1804000
 1999.2917  4      -1.110000      0.1582190      0.8364770      -1.696590       104.0830      -14.24540      -1.466400       1.129800
 1999.3750  5      -1.150000      0.1617090    -0.05451840      -1.935210       104.0830      -20.83000      -1.466400       2.768800
 1999.4583  6      -1.190000      0.1634650     -0.6660090      -1.801470       104.0830      -25.85010      -1.466400       1.443900
 1999.5417  7      -1.170000      0.1634990     -0.7278920      -1.539900       104.0830      -32.71740      -1.466400       1.759500
